photo_ids,lats,longs,names,localities,neighbourhoods,regions
50942928438,66.543536,25.847751,041.365,Rovaniemi,Nivavaara,Lapland
50850068581,66.724228,26.741237,Arctic Lapland Rally 2021,Kemijärvi,Sammale,Lapland
50850161502,66.724160,26.741344,Arctic Lapland Rally 2021,Kemijärvi,Sammale,Lapland
50850063001,66.673054,26.548032,Arctic Lapland Rally 2021,Rovaniemi,Nampa,Lapland
50842727767,66.724220,26.741130,Arctic Lapland Rally 2021,Kemijärvi,Sammale,Lapland
50841917533,66.673148,26.548376,Arctic Lapland Rally 2021,Rovaniemi,Nampa,Lapland
50842641281,66.673131,26.547431,Arctic Lapland Rally 2021,Rovaniemi,Nampa,Lapland
50842726322,66.673059,26.548086,Arctic Lapland Rally 2021,Rovaniemi,Nampa,Lapland
50733994742,67.019812,26.395372,Down low,Rovaniemi,Käyrämö,Lapland
50732436986,66.608948,25.952614,"Rovaniemi, Lapland",Rovaniemi,,Lapland
50604061491,66.543502,25.846952,VKM82 - 14 - IMG_0903,Rovaniemi,Nivavaara,Lapland
50481886712,67.159494,26.912661,Magical Night,Sodankylä,Luosto,Lapland
50404269458,68.122475,27.371070,B1019798 Pyhä-Nattanen,Sodankylä,Vuotso,Lapland
50401764526,66.543984,25.846302,"Lehtimäki Tilausajot, Santa Claus Village,  Rovaniemi.",Rovaniemi,Nivavaara,Lapland
50345779858,67.200077,26.808736,Autumn Colors at Luosto,Sodankylä,Torvinen,Lapland
50176079628,67.799209,26.779496,Laponie / Finlande,Sodankylä,Peurasuvanto,Lapland
50175976388,66.543532,25.846431,Santa Claus Village,Rovaniemi,Nivavaara,Lapland
50175962748,66.543566,25.847160,Santa Claus Village,Rovaniemi,Nivavaara,Lapland
50165505751,67.118335,26.935311,North of Europe 2020_062,Sodankylä,Luosto,Lapland
50165505741,67.118335,26.935311,North of Europe 2020_061,Sodankylä,Luosto,Lapland
50165762477,67.118335,26.935311,North of Europe 2020_059,Sodankylä,Luosto,Lapland
50164970653,67.118335,26.935311,North of Europe 2020_057,Sodankylä,Luosto,Lapland
50164970663,67.118335,26.935311,North of Europe 2020_058,Sodankylä,Luosto,Lapland
50164970643,67.119770,26.940547,North of Europe 2020_056,Sodankylä,Luosto,Lapland
50165505676,66.543519,25.847042,North of Europe 2020_052,Rovaniemi,Nivavaara,Lapland
50165505686,66.543519,25.847042,North of Europe 2020_055,Rovaniemi,Nivavaara,Lapland
50164970603,66.543519,25.847042,North of Europe 2020_053,Rovaniemi,Nivavaara,Lapland
50165505656,66.543519,25.847042,North of Europe 2020_051,Rovaniemi,Nivavaara,Lapland
50164970583,66.543519,25.847042,North of Europe 2020_050,Rovaniemi,Nivavaara,Lapland
50164970558,66.543519,25.847042,North of Europe 2020_048,Rovaniemi,Nivavaara,Lapland
50165762337,66.543519,25.847042,North of Europe 2020_047,Rovaniemi,Nivavaara,Lapland
50165505631,66.543519,25.847042,North of Europe 2020_049,Rovaniemi,Nivavaara,Lapland
50165762327,66.543519,25.847042,North of Europe 2020_046,Rovaniemi,Nivavaara,Lapland
50165504526,66.543519,25.847042,North of Europe 2020_054,Rovaniemi,Nivavaara,Lapland
50165504556,66.543519,25.847042,North of Europe 2020_045,Rovaniemi,Nivavaara,Lapland
50165761072,67.118335,26.935311,North of Europe 2020_060,Sodankylä,Luosto,Lapland
50080143373,67.023808,27.217808,Summer Storm Approaching,Pelkosenniemi,Pyhähuhta,Lapland
50031739898,66.628524,27.643333,Boloria aquilonaris,Kemijärvi,Isokylä,Lapland
50031630912,66.921422,26.918005,Northern exposure,Kemijärvi,Javarus,Lapland
49956121897,66.618541,26.183966,Z20_1238 LT,Rovaniemi,Vikajärvi,Lapland
49763862422,66.543333,25.843611,20170716_153424,Rovaniemi,Nivavaara,Lapland
49763534411,68.100000,27.120555,20170716_181416,Sodankylä,Vuotso,Lapland
49763005588,66.838055,26.196388,20170716_163918,Rovaniemi,Yli-Nampa,Lapland
49763533986,66.543333,25.841111,20170716_144316,Rovaniemi,Nivavaara,Lapland
49750111273,66.625330,26.218319,Firestarter,Rovaniemi,Vikajärvi,Lapland
49749351102,67.419466,26.713022,overflying Finland,Sodankylä,Kirkonkylä,Lapland
49749350782,67.419466,26.713022,overflying Finland,Sodankylä,Kirkonkylä,Lapland
49748480148,67.151891,26.453813,overflying Finland,Sodankylä,Seipäjärvi,Lapland
49749350282,67.118138,26.417422,overflying Finland,Sodankylä,Vuojärvi,Lapland
49749023101,67.118138,26.417422,overflying Finland,Sodankylä,Vuojärvi,Lapland
49741890571,66.589516,26.125886,Campfire,Rovaniemi,Vikajärvi,Lapland
49741342481,68.213197,27.843447,Cabin under the Stars,Sodankylä,Kakslauttanen,Lapland
49739033168,68.210869,27.816855,Lappi Sunrise,Sodankylä,Kakslauttanen,Lapland
49739019148,66.603636,25.821272,Moonlighter,Rovaniemi,,Lapland
49738957737,66.998158,27.208322,-Pyhä/Luosto-,Pelkosenniemi,Pyhähuhta,Lapland
49730537221,66.618541,26.183969,Z20_1218 LT,Rovaniemi,Vikajärvi,Lapland
49730534341,66.618541,26.183969,Z20_1222 LT,Rovaniemi,Vikajärvi,Lapland
49730852007,66.618541,26.183969,Z20_1239 LT,Rovaniemi,Vikajärvi,Lapland
49726395661,66.557750,25.887333,Northern Lights (www.jmproducciones.es),Rovaniemi,Nivavaara,Lapland
49706793058,66.992469,26.353627,,Rovaniemi,Käyrämö,Lapland
49706790908,66.994011,26.356761,,Rovaniemi,Käyrämö,Lapland
49707646032,66.993011,26.354294,,Rovaniemi,Käyrämö,Lapland
49707644202,67.279755,26.688075,,Sodankylä,Takala,Lapland
49706788538,67.279188,26.687763,,Sodankylä,Takala,Lapland
49707318616,68.004652,26.905780,,Lapland,,Tampere
49707638392,68.004477,26.905305,,Lapland,,Tampere
49706782633,67.982597,26.855427,,Lapland,,Tampere
49676126433,66.543640,25.845994,Right now few days here.,Rovaniemi,Nivavaara,Lapland
49676125243,66.543640,25.845994,Right now few days here.,Rovaniemi,Nivavaara,Lapland
49673645596,68.215197,27.900138,Endless Forest,Sodankylä,Kakslauttanen,Lapland
49665606962,68.213197,27.843447,Winter Stream,Sodankylä,Kakslauttanen,Lapland
49647526018,66.552802,25.851877,20180131-_DSC2894 copy,Rovaniemi,Nivavaara,Lapland
49648343002,66.552802,25.851877,20180131-_DSC2901 copy,Rovaniemi,Nivavaara,Lapland
49648342772,66.549463,25.848402,20180131-_DSC2947 copy,Rovaniemi,Nivavaara,Lapland
49647525538,66.549463,25.848402,20180131-_DSC2954 copy,Rovaniemi,Nivavaara,Lapland
49633301972,66.542372,25.846244,20180129-_DSC2791 copy,Rovaniemi,Nivavaara,Lapland
49568457312,66.543597,25.848586,Polar Circle,Rovaniemi,Nivavaara,Lapland
49568217756,66.543597,25.848586,Julenissens verksted,Rovaniemi,Nivavaara,Lapland
