lat,lon,size,label
60.18505311872146,24.98161576255708,442,"Helsinki, Newland"
68.43707386666667,22.655984933333333,15,"nan, Lapin maakunta"
64.81671767901234,26.02505791358025,81,"Muhos, North Ostrobothnia"
68.84552291908713,28.315072186721995,482,"Nellim, Lapin lääni"
62.801776135135135,27.83023983783784,37,"Kuopio, North Savo"
63.516973096774194,22.488990991935488,124,"Andra sjön, Pohjanmaan maakunta"
59.937728959292976,30.315822288162835,1867,"Leningrad, Petrograd"
60.45475292865498,22.279049051461985,855,"Turku, Finland Proper"
65.81000057067138,21.71010062720849,566,"Boden, Norrbottens Län"
67.80641243505156,24.789941855670104,485,"Sirkka, Lapin maakunta"
69.09316985618729,20.74811743478261,303,"Kilpisjärvi, Lapin maakunta"
64.61645732075472,28.575111844339617,212,"Unknown, Karelia Republic"
66.57075121673003,25.95960652851711,263,"Apukka, Lapin maakunta"
69.72708940681234,30.058649904884348,1556,"Kirkenes, Finnmark Fylke"
62.60697452079867,29.771990677204656,601,"Penttilä, Pohjois-karjala maakunta"
61.513703872463765,23.617890746859903,1035,"Tampere, Tampere"
61.74022029230769,26.410877353846157,65,"Joutsa, Central Finland"
67.84738495554166,20.60021264245461,1597,"Jukkasjärvi, Norrbottens Län"
64.365358671875,21.320996125,64,"Lövånger, Västerbottens Län"
63.4230721875,24.002079525,80,"nan, Keski-Pohjanmaan maakunta"
68.64643014102565,27.48067397435897,77,"Ivalo, Lapin maakunta"
66.11478638888889,28.206441180555554,72,"Posio, Lapland"
60.51752528358209,26.547713074626863,67,"Loviisa, Newland"
68.38854530090912,23.640910226363623,1100,"Hetta, Lapin maakunta"
69.8564314626506,23.310319575903616,415,"Unknown, Finnmark Fylke"
63.55996421954888,27.18819394586465,1995,"Iisalmi, Pohjois-Savon maakunta"
66.17152417291666,29.157687237500003,480,"Ruka, Pohjois-pohjanmaan maakunta"
63.092598688644685,21.62122514652015,545,"Vaasa, Pohjanmaan maakunta"
64.05046127868853,23.50898955737705,122,"Lohtaja, Länsi-Suomen lääni"
60.38764069366852,25.66210868342644,1074,"Porvoo, Newland"
61.8660515174312,28.89258538899083,545,"Savonlinna, Etelä-Savon maakunta"
61.57866073484848,21.529051037878787,132,"Yyteri, Satakunnan maakunta"
69.45836154205608,25.366036822429905,214,"Karasjok, Finnmark Fylke"
67.02249125862069,27.233949014367816,348,"Pyhätunturi, Lapin maakunta"
62.488282920110194,25.843237165289256,363,"Laukaa, Central Finland"
64.47665884210527,24.27320021052632,57,"Pyhäjoki, Oulun lääni"
63.243549103448274,29.25301695402299,87,"Juuka, North Karelia"
65.03921590909091,25.50515808033827,468,"Oulu, Pohjois-pohjanmaan maakunta"
69.89362288479263,21.607217640553,217,"Kvænangsfjellet, Troms Fylke"
67.47917922580645,22.35603293548387,31,"Unknown, Norrbottens Län"
