photo_ids,lats,longs,names,localities,neighbourhoods,regions
49580341658,62.458197,25.933969,Talwiajo Winter rally 2020_2020_02_08_0253,Laukaa,Kuusa,Central Finland
49580836626,62.458197,25.933969,Talwiajo Winter rally 2020_2020_02_08_0251,Laukaa,Kuusa,Central Finland
49581064317,62.458002,25.934155,Talwiajo Winter rally 2020_2020_02_08_0062,Laukaa,Kuusa,Central Finland
49580832151,62.458002,25.934155,Talwiajo Winter rally 2020_2020_02_08_0060,Laukaa,Kuusa,Central Finland
49579613536,62.626369,27.122400,,Suonenjoki,Suonenjoki,North Savo
49579613426,62.626369,27.122400,,Suonenjoki,Suonenjoki,North Savo
49579837187,62.626316,27.122508,,Suonenjoki,Suonenjoki,North Savo
49579611456,62.626358,27.122233,,Suonenjoki,Suonenjoki,North Savo
49573221753,62.891694,27.690202,,Kuopio,Kuopionlahti,North Savo
49571612701,62.892052,27.672494,Iced view,Kuopio,Kuopio,North Savo
49570109997,62.891491,27.634597,Office,Kuopio,Savilahti,North Savo
49562587272,62.456322,25.976608,Talwiajo Winter rally 2020_2020_02_08_0597m1,Laukaa,Kuusa,Central Finland
49562357541,62.456377,25.976997,Talwiajo Winter rally 2020_2020_02_08_0599,Laukaa,Kuusa,Central Finland
49562355761,62.457922,25.934105,Talwiajo Winter rally 2020_2020_02_08_0490,Laukaa,Kuusa,Central Finland
49562352536,62.458066,25.934194,Talwiajo Winter rally 2020_2020_02_08_0384,Laukaa,Kuusa,Central Finland
49562579907,62.457986,25.934047,Talwiajo Winter rally 2020_2020_02_08_0338,Laukaa,Kuusa,Central Finland
49562575187,62.458011,25.934180,Talwiajo Winter rally 2020_2020_02_08_0283,Laukaa,Kuusa,Central Finland
49562573807,62.457980,25.934100,Talwiajo Winter rally 2020_2020_02_08_0271,Laukaa,Kuusa,Central Finland
49562571882,62.457980,25.934100,Talwiajo Winter rally 2020_2020_02_08_0270,Laukaa,Kuusa,Central Finland
49562341346,62.457969,25.934333,Talwiajo Winter rally 2020_2020_02_08_0249,Laukaa,Kuusa,Central Finland
49562568352,62.457997,25.934150,Talwiajo Winter rally 2020_2020_02_08_0242,Laukaa,Kuusa,Central Finland
